name;grade;stars;address;gps;link
Hotel des Bains;7,7;2.0;14e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/des-bains-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=12&hapos=12&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=179497501_275674221_2_2_0%2C179497501_275674221_2_2_0&highlighted_blocks=179497501_275674221_2_2_0%2C179497501_275674221_2_2_0&matching_block_id=179497501_275674221_2_2_0&sr_pri_blocks=179497501_275674221_2_2_0__11125%2C179497501_275674221_2_2_0__11125&from=searchresults#hotelTmpl
Citadines Place d'Italie Paris;8,1;3.0;13e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/citadines-aparthotel-place-italie.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=13&hapos=13&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=21836306_204494336_4_2_0&highlighted_blocks=21836306_204494336_4_2_0&matching_block_id=21836306_204494336_4_2_0&sr_pri_blocks=21836306_204494336_4_2_0__20462&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aparthotel Adagio Porte de Versailles;7,6;4.0;Paris;[48.8588897, 2.3200410217200766];https://www.booking.com/hotel/fr/portedeversaille.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=14&hapos=14&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=5178010_101014774_4_2_0&highlighted_blocks=5178010_101014774_4_2_0&matching_block_id=5178010_101014774_4_2_0&sr_pri_blocks=5178010_101014774_4_2_0__23552&from=searchresults#hotelTmpl
Hotel Korner Eiffel;8,6;2.0;15e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/idealhotel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=15&hapos=15&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=5043303_264990422_2_2_0%2C5043302_264990422_2_2_0&highlighted_blocks=5043303_264990422_2_2_0%2C5043302_264990422_2_2_0&matching_block_id=5043303_264990422_2_2_0&sr_pri_blocks=5043303_264990422_2_2_0__17506%2C5043302_264990422_2_2_0__17506&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aparthotel Adagio Paris Opéra;8,0;4.0;9e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/adagio-city-aparthotel-opera.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=16&hapos=16&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=5901402_246088035_4_2_0&highlighted_blocks=5901402_246088035_4_2_0&matching_block_id=5901402_246088035_4_2_0&sr_pri_blocks=5901402_246088035_4_2_0__34152&from=searchresults#hotelTmpl
Auberge de Jeunesse HI Paris Yves Robert;7,6;;18e arr., Paris;[48.8870221, 2.3478318];https://www.booking.com/hotel/fr/auberge-de-jeunesse-hi-paris-yves-robert.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=17&hapos=17&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=653216419_275701938_1_41_0%2C653216428_275701938_3_41_0&highlighted_blocks=653216419_275701938_1_41_0%2C653216428_275701938_3_41_0&matching_block_id=653216419_275701938_1_41_0&sr_pri_blocks=653216419_275701938_1_41_0__3738%2C653216428_275701938_3_41_0__11696&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Appart’City Confort Paris Grande Bibliothèque;7,4;4.0;13e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/home-business-grande-bibliotheque.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=18&hapos=18&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=2883102_120332467_0_2_0&highlighted_blocks=2883102_120332467_0_2_0&matching_block_id=2883102_120332467_0_2_0&sr_pri_blocks=2883102_120332467_0_2_0__21352&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Fraser Suites Le Claridge Champs-Elysées;8,0;5.0;8e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/le-claridge-champs-elysees-by-fraser-serviced-residences.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=19&hapos=19&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=5367706_328393508_4_0_0&highlighted_blocks=5367706_328393508_4_0_0&matching_block_id=5367706_328393508_4_0_0&sr_pri_blocks=5367706_328393508_4_0_0__55600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
ibis Paris Gare De L Est 10ème;7,6;3.0;10e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/ibis-paris-gare-de-l-est-10-eme.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=20&hapos=20&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=65908405_333879444_2_2_0%2C65908401_333879444_2_2_0&highlighted_blocks=65908405_333879444_2_2_0%2C65908401_333879444_2_2_0&matching_block_id=65908405_333879444_2_2_0&sr_pri_blocks=65908405_333879444_2_2_0__10446%2C65908401_333879444_2_2_0__10446&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Roi de Sicile - Rivoli -- Luxury apartment hotel;9,2;4.0;4e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/roi-de-sicile-rivoli.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=21&hapos=21&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=490642106_163801681_2_0_0&highlighted_blocks=490642106_163801681_2_0_0&matching_block_id=490642106_163801681_2_0_0&sr_pri_blocks=490642106_163801681_2_0_0__37976&from=searchresults#hotelTmpl
Adagio Paris 19ème Cité de la Musique;7,8;4.0;19e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/hipark-paris-la-villette.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=22&hapos=22&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=158060106_112212884_4_2_0&highlighted_blocks=158060106_112212884_4_2_0&matching_block_id=158060106_112212884_4_2_0&sr_pri_blocks=158060106_112212884_4_2_0__19852&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
55 Hôtel Montparnasse;7,9;3.0;14e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/hotel-montparnasse.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=23&hapos=23&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=45514210_244666593_0_2_0%2C45514210_244666593_0_2_0&highlighted_blocks=45514210_244666593_0_2_0%2C45514210_244666593_0_2_0&matching_block_id=45514210_244666593_0_2_0&sr_pri_blocks=45514210_244666593_0_2_0__10376%2C45514210_244666593_0_2_0__10376&from=searchresults#hotelTmpl
Hotel Michelet Odeon;8,1;2.0;6e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/michelet-odeon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=24&hapos=24&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=168850504_309356401_0_2_0%2C168850504_309356401_0_2_0&highlighted_blocks=168850504_309356401_0_2_0%2C168850504_309356401_0_2_0&matching_block_id=168850504_309356401_0_2_0&sr_pri_blocks=168850504_309356401_0_2_0__15526%2C168850504_309356401_0_2_0__15526&from=searchresults#hotelTmpl
Hôtel Bellevue et du Chariot d'Or;7,8;;3e arr., Paris;[6.1400808, 1.2271596];https://www.booking.com/hotel/fr/bellevue-et-du-chariot-d-39-or-paris2.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=25&hapos=25&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648311934&all_sr_blocks=148389402_321402187_0_0_0%2C148389402_321402187_0_0_0&highlighted_blocks=148389402_321402187_0_0_0%2C148389402_321402187_0_0_0&matching_block_id=148389402_321402187_0_0_0&sr_pri_blocks=148389402_321402187_0_0_0__12326%2C148389402_321402187_0_0_0__12326&from=searchresults#hotelTmpl
name;grade;stars;address;gps;link
